pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,pl_insol,st_teff,st_rad,st_mass,st_met,pl_dens
HD 136352 b,1.664,4.72,905.0,0.0964,111.6,5664.0,1.058,0.87,-0.24,5.623888
TOI-5817 b,3.08,10.3,950.0,0.1223,126.8632,5770.0,1.427,0.97,-0.24,1.93
EPIC 212297394 b,1.48,2.79,1149.0,,,5171.0,0.8,0.83,-0.03,4.73
HD 156279 b,12.5,2997.75753482,,0.502,,5453.0,0.95,0.94,0.14,8.43
EPIC 229004835 b,2.332,10.4,804.0,0.1237,69.7,5868.0,0.999,0.97,-0.12,4.49
HD 94890 c,12.5,2831.85110637,,4.33,,4867.0,10.71,1.74,-0.02,7.97
TOI-5573 b,9.75,112.0,528.0,0.0712,12.92,3790.0,0.594,0.619,0.42,0.661
TOI-700 b,0.914,0.704,417.0,0.0677,4.98,3459.0,0.421,0.415,-0.07,5.07
rho CrB e,1.75,3.71,,0.1061,,5817.0,1.3617,1.0,-0.2,3.8
MWC 758 c,,,500.0,100.0,,7314.0,2.01446,1.5,,
HD 104067 b,9.2,62.1,,0.2674,,4952.0,0.78,0.82,0.11,0.438
TOI-2018 b,2.268,9.2,576.34,,26.0758,4174.0,0.62,0.57,-0.58,4.33
HD 20794 b,1.45,2.7,660.0,0.1257,,5368.0,0.93,0.79,-0.42,4.87
Kepler-102 c,0.567,1.7,777.0,0.06702,61.0,4909.0,0.724,0.803,0.11,52.0
K2-377 b,1.693,3.51,,,,4200.0,0.691,0.821,-0.008,3.97
Kepler-1126 c,1.45,2.7,305.0,0.6193,2.06,5678.0,0.921,0.794,-0.4,4.87
TOI-3493 b,3.22,8.97,1102.0,,245.0,5844.0,1.228,1.023,0.03,1.47
K2-263 b,2.513,15.4,482.0,0.2573,8.17,5368.0,0.85,0.88,-0.08,5.650354
Kepler-416 c,2.352,6.13,791.0,0.10454,93.072,5718.0,1.075,1.0,0.1259,2.59
Kepler-949 c,2.97,9.11,582.0,0.1394,27.2,5211.0,0.895,0.817,0.08,1.91
